event,station,snr_Z_after_dB,snr_N_after_dB,snr_E_after_dB,lag_ZN_sampel,lag_ZE_sampel,lag_ZN_detik,lag_ZE_detik,dt_tiba_ZN_detik,dt_tiba_ZE_detik
aceh_m55,BKB,-1.1396,-0.0665,-0.4313,-10176,-9920,-508.8,-496.0,508.8,496.0
aceh_m55,BKNI,-1.169,-2.1965,0.1727,20288,21312,1014.4,1065.6,1014.4,1065.6
aceh_m55,PMBI,-0.4348,-1.648,-1.9825,-14016,17984,-700.8,899.2,700.8,899.2
jatim_m58,BNDI,-0.8118,-1.8495,-0.1895,20800,-10432,1040.0,-521.6,1040.0,521.6
papua_m59,BKB,-0.4028,-0.0453,-1.2437,-5824,-5312,-291.2,-265.6,291.2,265.6
papua_m59,BNDI,-1.23,-2.178,-1.1291,9536,9536,476.8,476.8,476.8,476.8
sumbawa_m52,BKB,-1.3336,-0.0532,0.1808,-11712,-11712,-585.6,-585.6,585.6,585.6
sumbawa_m52,BKNI,-1.1534,-0.3932,-1.0066,20032,-11968,1001.6,-598.4,1001.6,598.4
sumbawa_m52,PMBI,-1.8486,-2.5956,-1.4798,15424,17216,771.2,860.8,771.2,860.8
sumut_m58,SMRI,-0.7371,0.2249,-1.5997,-4800,-4032,-240.0,-201.6,240.0,201.6
